date,open,high,low,close,vol
2014/8/1,100.00 ,101.38 ,96.43 ,98.03 ,140 
2014/8/2,96.21 ,97.70 ,94.45 ,96.06 ,180 
2014/8/3,95.41 ,95.95 ,93.14 ,94.81 ,149 
2014/8/4,94.50 ,95.02 ,93.64 ,94.56 ,104 
2014/8/5,95.35 ,96.43 ,95.15 ,96.21 ,125 
2014/8/6,94.44 ,94.87 ,93.65 ,94.44 ,187 
2014/8/7,95.17 ,95.82 ,91.94 ,93.29 ,135 
2014/8/8,91.99 ,93.78 ,90.09 ,91.24 ,175 
2014/8/9,92.40 ,95.38 ,91.89 ,94.21 ,164 
2014/8/10,95.64 ,96.41 ,94.23 ,95.36 ,152 
2014/8/11,97.16 ,98.48 ,95.53 ,96.06 ,164 
2014/8/12,95.24 ,96.93 ,93.73 ,96.36 ,166 
2014/8/13,94.76 ,96.42 ,94.05 ,94.18 ,197 
2014/8/14,95.75 ,97.62 ,95.11 ,95.75 ,132 
2014/8/15,94.65 ,95.71 ,91.46 ,93.11 ,196 
2014/8/16,91.26 ,92.94 ,90.12 ,90.27 ,196 
2014/8/17,90.56 ,90.80 ,88.16 ,89.24 ,174 
2014/8/18,89.45 ,89.60 ,86.40 ,87.69 ,161 
2014/8/19,87.17 ,90.51 ,86.03 ,88.75 ,162 
2014/8/20,88.11 ,88.17 ,87.46 ,87.62 ,181 
2014/8/21,86.96 ,87.43 ,84.37 ,85.86 ,117 
2014/8/22,84.91 ,85.22 ,82.98 ,84.03 ,125 
2014/8/23,85.19 ,86.15 ,83.35 ,84.09 ,109 
2014/8/24,82.55 ,85.16 ,81.66 ,83.68 ,139 
2014/8/25,83.72 ,84.42 ,81.41 ,82.53 ,142 
2014/8/26,81.92 ,82.83 ,80.91 ,81.56 ,104 
2014/8/27,80.49 ,80.80 ,79.47 ,80.61 ,145 
2014/8/28,82.12 ,83.58 ,81.78 ,82.75 ,143 
2014/8/29,83.73 ,84.52 ,81.54 ,82.44 ,109 
2014/8/30,83.43 ,83.48 ,82.37 ,82.56 ,194 
2014/8/31,83.53 ,85.53 ,83.16 ,84.28 ,107 
2014/9/1,83.24 ,84.38 ,81.91 ,83.31 ,110 
2014/9/2,84.66 ,86.13 ,83.09 ,84.99 ,123 
2014/9/3,84.36 ,85.62 ,83.07 ,85.15 ,113 
2014/9/4,83.63 ,85.63 ,82.10 ,84.41 ,152 
2014/9/5,83.13 ,83.93 ,81.04 ,82.67 ,160 
2014/9/6,83.23 ,84.02 ,81.31 ,82.19 ,139 
2014/9/7,81.52 ,83.18 ,80.40 ,82.89 ,149 
2014/9/8,83.95 ,86.01 ,82.36 ,84.89 ,124 
2014/9/9,85.37 ,86.95 ,84.23 ,84.75 ,147 
2014/9/10,83.54 ,85.66 ,83.26 ,84.73 ,140 
2014/9/11,83.52 ,84.66 ,81.34 ,82.96 ,194 
2014/9/12,82.79 ,83.59 ,81.93 ,83.07 ,138 
